,control_day3,covid_day3,chi
15388,871.0272648,438.8503274000001,425.60502649506157
23883,622.63739505,278.49955085,425.2461285814081
27433,683.36890795,1474.65152745,424.59399544073744
20663,887.8447709,450.7753722499999,423.7801596896639
30444,117.474834665,632.7822095500001,419.64152373959536
4999,396.4883827,148.377098545,414.8834956923854
27707,927.2893186499999,481.13649169999997,413.71284121926567
11498,1698.0914975,1041.6829072,413.6308990399005
12903,1026.5547924,550.4394387499999,411.8270131516166
41,1467.97734465,869.7521782000001,411.46588504643785
30632,1505.3094481500002,898.46355355,409.879664386832
19581,588.7343332,1324.7303954,408.905997367369
16562,94.86512412,15.441490071,408.51715841831026
2951,536.47208135,230.01658025,408.2965412857543
7245,1017.774262,545.8923765499999,407.9055201743632
25382,249.44456544999997,74.867521705,407.080981294299
14094,2246.165275,1472.92985,405.9209082326157
6034,155.71769575,35.59370627,405.4023691473012
5465,858.5870149,437.49238249999996,405.3114900488379
23736,1878.326516,1188.803987,399.9324726344108
2597,262.0663391,81.59084856000001,399.2041173796761
13938,19.468673797999998,0.866953002,399.1266144463259
10310,63.593060460000004,7.802577015,398.9166703568667
246,1034.83964815,562.5459119,396.5211880175153
8020,1404.536952,830.78792605,396.2358316203574
7171,147.297417305,32.992847265,396.01113014243117
30646,1128.82295655,629.64172545,395.7518877968632
17144,804.9790098999999,405.1719555,394.51319021018594
30198,418.3978441,164.14591655,393.8205958550264
18243,1775.606026,1114.2768978,392.50227359938725
20419,1140.9923183,640.43888695,391.22193036947857
8347,79.62387755399999,11.8100141,389.39158223001226
12750,84.099142075,13.004295025,388.67753056555205
13984,1512.4906253,917.14279415,386.46003906458196
16771,609.85998665,280.77308189999997,385.7142933541864
26833,635.5185313500001,1358.2264637,384.5505660806925
28711,709.88333655,345.66176190000004,383.77792993748386
853,345.01858274999995,125.64178770500001,383.0427685191293
26896,394.79106435,152.844658665,382.99057183406353
4981,323.8180146000001,915.7941689,382.657783987357
6701,697.20965615,337.77968285000003,382.4679584526961
6249,27.459591019999998,1.7339060035,381.6878586453158
17159,83.39889287,13.004295025,381.05867301786145
17293,49.714854975,5.20171801,380.9163354598781
17655,34.075941811,2.6008590055000003,380.9052453509025
17455,1012.2846829,553.4517876,380.3901812700203
15801,724.52518055,357.0958149,378.06194614677173
20691,428.6797196,1061.6536951,377.3886489629142
15051,964.43710255,521.4717929,376.2778125775792
23469,446.19171235,183.59484365,375.5939659313249
21842,982.9922657,535.24577455,374.55114990059485
23685,719.26322685,1457.3686698,373.8241779186734
17127,644.6534657000001,306.9453359,371.5540443011297
6108,254.76414575,81.26352064,370.4302579618186
3444,39.277387535,3.467812007,369.77947388932284
20522,1940.913992,1258.9916515,369.3575552458681
2636,1045.078261,582.0921054500001,368.25130975665047
20034,1810.6415365,1157.7573430000002,368.1753976335135
5005,1334.805927,794.4422975499999,367.5444433571337
14428,446.87179225,1073.5478713,365.817788430728
30436,503.51422465,1151.0255717,364.25858370745493
1916,553.88610885,251.3322086,364.2146108785158
5715,258.25674774999993,83.700715685,364.0328291211705
31784,279.6849839,827.5950243499999,362.7443418496919
53,710.5547724,352.89384499999994,362.49240614731656
753,791.51864035,407.5605173,361.72257615318074
30580,1351.81076265,811.0827287,360.4894992253981
1569,43.78146539,4.334765009,358.9680565653901
11969,777.5020881,399.78880910000004,356.85671505939064
4226,181.278275125,49.02259561000001,356.8061736903691
26542,1595.3449464999999,998.5830833,356.6300364242665
16190,1338.1428945000002,804.01430955,354.836153874383
18392,565.00365615,261.17825515,353.4362929249043
2992,155.67735705,625.7979522999999,353.17049738805014
30637,151.88217245,37.278979075,352.3136163499576
7028,60.14079708,7.802577015,351.0749428434022
19466,524.4986929,236.83717355000005,349.3925741234232
30509,1651.2726805,1047.10624245,348.5960355006232
22187,32.6840873965,2.6008590055000003,347.962203453273
29210,342.2435179,130.0251859,346.3684372003056
13421,51.809839941,6.06867101,344.7632161517154
25556,18.0797007165,0.866953002,341.74711108852586
7051,932.03538545,514.45666685,338.943972279126
2961,387.7136576500001,955.7217649,337.58068692250146
21762,547.0219207,254.24263115000002,337.1571164193512
21769,1174.1000045,691.7396736,336.3570107452019
27458,204.68620015000002,683.959521005,335.8428518486851
24315,942.0867546,523.25433215,335.24920352699127
19848,421.05189295,177.3625087,334.8200046977806
30445,442.67029705,1027.7097329,333.0426194698601
19843,1385.042346,852.49261995,332.68230607388034
20774,453.1797978000001,1041.5949608,332.4059899275931
21997,1490.618664,935.1318501999999,329.97015366301775
26338,219.05427489000002,68.701584285,329.04527322666917
26763,232.73943115,75.407146795,328.2639478146109
6980,778.551064,411.2228621,328.1189358539975
8114,604.29833165,293.8437745,328.0043357025508
4415,202.248294,670.4371497,326.95205613197453
4901,644.1895284499999,1294.6779646,326.8266064106555
8344,329.77445485,126.67240466000001,325.64663868268013
20733,504.31243915,1103.4535275,325.3150538768136
27953,785.6371148000001,417.83115819999995,323.770066103321
21951,916.8143935500001,511.32928725,321.55046763580896
5783,65.30478549,442.24329731,321.2770946610422
31831,1851.4981510000002,1224.8484965500002,320.6027443625754
8096,456.5139265,202.06178709999998,320.42620316524494
20038,221.03976919999997,690.4481262500001,319.13216546060596
24328,690.8469052999999,354.90644575,317.9880042025557
12213,482.3309445,218.69755805,317.80218796592567
20844,67.806081,10.40343602,316.72840053664504
30567,172.0424514,48.434337334999995,315.4573119691481
8094,799.224263,430.93271964999997,314.7560041699538
24024,17.385214175999998,0.866953002,314.7263480062046
9673,17.370807515000003,0.866953002,314.17760035193993
19698,441.72797315,194.6706999,313.54125863357615
27826,126.1400691,29.68869922,313.3470645780813
16566,1110.6221975,657.8134757,311.69282192032455
4636,41.026569884,4.334765009,310.5793606319741
28663,671.0929369,344.3215814,310.115672509244
27671,1436.9674395000002,906.78799125,309.98452787094584
2901,93.17644977,18.206013035,308.7203317624472
15069,122.6589924,28.658082255000004,308.3308586200568
15824,285.28409625,105.210876745,308.20353737273587
9243,36.156520100499996,3.467812007,308.1342456468553
14412,423.6338658,970.2345647,307.9382397908592
27077,1196.1448885,725.0112155499999,306.15655734231865
6852,292.47968030000004,781.5445888,306.04074054605417
29581,1790.30536845,1187.4993355,306.0002666931317
7846,1494.3071966,955.7572936000001,303.4619771813052
29813,70.21805524,431.87917461500007,302.85962592240986
24951,836.3980216,462.43948675,302.407103619074
22439,17.0192422465,0.866953002,300.93493792180254
