,control_day1,covid_day1,chi,control_day3,covid_day3,chi,control_day7,covid_day7,chi,control_day14,covid_day14,chi
536,131.190285505,66.77383170499999,62.14230057216895,40.306151355,144.95791970500002,75.55290970696996,59.252972719999995,189.8278021,89.81711782468197,,,
542,152.50689012,84.427589775,54.896641581460074,,,,,,,,,
548,22.545645815,53.08949636,17.572719089085304,,,,14.839647147,51.97143516,26.529374776695516,,,
550,38.298523915,133.1083634,67.53073536152773,,,,,,,,,
553,,,,,,,,,,80.121615255,51.15161325,16.407322523101534
557,,,,21.557896086,6.935624015,30.827916861687985,1.8976265485,5.646548465,2.4890276995105958,,,
575,,,,,,,,,,0.4866723995,2.472337994,1.594793213043604
587,,,,1.043170477,5.0380540495,3.167710112084688,,,,0.33692704549999997,3.2027992105,2.5643890629158714
596,,,,79.59218290000001,41.335049355,35.40840739078307,,,,,,
602,,,,,,,13.987700685499998,129.810578225,103.34241742824663,,,
605,,,,,,,,,,322.77543325,187.687594,97.229251674641
607,262.8563245,145.22617175,95.27795623372783,,,,,,,,,
608,20.920138829000003,12.2663380435,6.105185408191501,,,,8.5941705355,18.73627445,5.49000667592784,901.9280658,475.39533609999995,382.6923734629658
609,45.77849718,22.7425904185,23.333006071852786,11.1204286505,1.7339060035,50.814062137621455,,,,,,
615,3.3963838610000003,16.4702813225,10.377891639307554,,,,,,,32.645110965,16.979426900500002,14.453588960738267
620,,,,,,,,,,175.41123895,102.7107643,51.45866696987762
621,,,,,,,63.676681725,37.729210195,17.84482832586262,,,
622,,,,36.147876105,21.510161081000003,9.960999376852378,,,,,,
626,22.545645815,66.828553165,29.34338378577531,,,,68.036790615,44.781262415,12.076917056269533,9.820903422,26.23985074,10.273756268754576
628,44.694825853999994,8.8972352045,144.02985498922578,4.8614057855,10.40343602,2.9523033602615576,,,,,,
630,235.1037741,150.89501645,46.99369821339406,,,,,,,,,
635,,,,,,,,,,3.781070179,8.394417864000001,2.5353725782425336
641,22.003810155,10.2995977995,13.300382163397586,,,,,,,93.36212015500001,60.054901205,18.47261109291238
642,,,,,,,,,,0.18718169199999998,1.382231123,1.0332158774096882
646,,,,,,,8.3327505115,0.5133225875,119.11311628894754,,,
651,,,,26.05332994,70.205428785,27.76719501833109,,,,77.993723405,37.554507215,43.54551097420272
652,,,,,,,6.2874923545,64.28386425000001,52.32384817378402,,,
654,27.56753667,6.2957611490000005,71.87191875722392,,,,,,,8.4420502805,4.056530978,4.741188877123396
655,,,,,,,7.362929365,2.053290351,13.73028731433945,,,
656,,,,4.1669192445,30.39198826,22.629458756830218,41.701682045,22.24885416,17.008179837133397,,,
658,,,,,,,9.7833959595,61.48252911499999,43.47251825035986,113.291458815,17.081361545,541.8995899312464
659,,,,39.277387535,18.2546462335,24.210584317911316,,,,36.170418155,16.428788511500002,23.722500335816548
660,,,,,,,,,,843.8820366,1864.0655145,558.3357025191831
661,,,,,,,355.1046984,204.40736679999998,111.10013355624507,,,
664,245.98013120000002,81.30082482,333.5670211198961,,,,30.5394133,116.51927371,63.44475176288913,,,
666,,,,8.34536382,18.2546462335,5.379117003664524,0.4090516315,12.009295205,11.205124752741728,,,
667,96.037049545,63.922202415,16.134666316523056,,,,,,,986.5958565999999,2244.23082745,704.7607138085793
668,,,,,,,6.13577447,39.513572525,28.19480324882018,18.350409135,6.5848189040000005,21.022463260107692
669,,,,,,,23.876712505,51.745323185000004,15.00926873056132,69.271056555,25.2832808095,76.52979965754149
672,10.189151585,4.9950241225,5.401167128537061,,,,,,,,,
673,,,,,,,,,,1.123090152,4.528678839,2.5610193871869713
674,6.79276772,3.290929324,3.7262642081887054,,,,14.881662895,4.934006706,20.055883494080927,55.213555515,31.925756285,16.98696150329235
675,688.6201428,359.807253865,300.48842753555664,,,,426.03638770000003,254.604112,115.43028476963808,20.10991704,62.08589051,28.379754792602135
676,,,,1.3889730815,6.06867101,3.6086274352194927,,,,,,
677,,,,,,,15.81355457,102.28306461,73.1008226539455,,,
689,13372.343066500001,5250.417611999999,12563.890715604866,,,,5090.141261500001,1713.33858,6655.308228561336,442739.9256015,828.14861385,235810355.01890498
699,7.876439049999999,0.333001608,170.88040139844458,,,,,,,,,
704,,,,177.681902404,91.8970182,80.07927245123267,80.851610983,422.826955005,276.5839181600481,,,
706,,,,,,,128.394957245,54.9255169,98.27415323983078,,,
708,,,,,,,,,,162.7451738,93.97783592,50.31980905718735
709,289.300546,109.27763278,296.5680026164239,,,,,,,,,
710,,,,,,,,,,49.3860694865,7.180438097500001,248.0789189679581
712,15.752878095,1.3163717295,158.3236037135831,,,,7.9616283555,4.1065807014999995,3.6189213106618188,77.45136441499999,38.43208466,39.61544647052595
713,19.69109762,4.6073010535000005,49.38268982590529,6.256141531499999,27.742496055,16.6410199642553,,,,,,
715,,,,36.508085372500005,17.339060035,21.19212527368801,3.162710914,30.243216624,24.248538064809466,,,
716,,,,,,,,,,40.750546135499995,9.215041473,107.92008448712915
719,,,,,,,,,,7.7744875675,0.5169278835,101.89462446906711
721,,,,17.385214175999998,2.6008590055000003,84.04037179457553,12.018301475,7.95650011,2.073553710881034,,,
722,27.171070885,15.5181806065,8.750371920912068,7.639351949999999,15.60515403,4.066220855990637,38.395425795,10.2701082725,77.02289642452702,,,
727,7.876439049999999,0.6660032164999999,78.0632639917901,,,,6.95796401,22.2830599965,10.539780758671727,,,
729,,,,6.250378865,18.745638115,8.328951128090766,12.271548945,28.354939605,9.122765159286793,8.279722165999999,4.8881237120000005,2.3532424199772746
731,,,,493.4398478,142.47209149000003,864.5789128316494,437.35676655,194.1910441,304.4917382707992,,,
736,,,,1.3889730815,14.9504981885,12.301594295316507,2.86336142,1.5399677630000002,1.1372775544184122,21.22671581,13.5744650455,4.313756863825935
738,,,,39.94882342,85.43462168500001,24.216854982194306,,,,,,
739,137.04475175,50.464570255,148.54238904302227,,,,,,,,,
741,86.24436373500001,47.73020122449999,31.07761282857956,,,,12.461196300000001,57.418764455,35.20073888032724,,,
743,26.48386534,4.6620225145,102.14296967029925,9.72281157,26.76051229,10.84744726403325,6.953877735,27.719419735,15.556160218220528,,,
750,48.091209713999994,138.6130437,59.11566624223073,85.7849351,175.56220510500003,45.90941543899035,114.41134286500001,42.322220683,122.79226971326659,,,
752,3.3963838610000003,36.736475315,30.257712222795046,,,,28.4521394,15.39967763,11.063008093456535,,,
753,391.04669194999997,923.2428304499999,306.7803187773037,791.51864035,407.5605173,361.72257615318074,1120.4269905,221.21254814999998,3655.2474988106674,7.7370512289999995,0.2696840455,206.76630146892657
758,,,,,,,640.2247914,350.92180600000006,238.5038944013429,,,
763,11.272822910999999,32.01973134,13.44278016547878,17.7310167825,9.53648302,7.041420138212796,18.672829715,68.35859846,36.113607818132245,,,
766,,,,,,,443.7242041,270.60144715,110.75879042640504,,,
767,13.585535445,3.9491151889999996,23.514278744996904,,,,,,,11.3809588105,0.0674210115,1898.4606531659902
780,,,,,,,,,,0.0374363385,1.4047717205,1.330896699859275
785,372.6903615,130.61318775,448.6634088048868,,,,,,,,,
787,,,,,,,,,,0.074872677,1.4047717205,1.2590169919371006
789,51.884059359999995,8.889417853,207.94828512776033,29.5488133,7.802577015,60.608026252599636,18.7148454605,0.7699838815000001,418.2140234703996,,,
796,,,,4.172681909,26.875543055,19.178027515937632,,,,,,
800,69.262444435,38.464022165,24.66052068741657,,,,89.27363224999999,46.8687586,38.366139044110795,,,
801,,,,,,,80.649704795,37.732866715,48.81301504856887,51.475901119999996,32.18386886,11.564256315481417
802,,,,6.250378865,3.3041480460000003,2.627084476233971,8.033401018500001,2.053290351,17.416788413840514,0.561545076,2.7194814415,1.712344598674236
810,,,,0.694486541,8.66953002,7.336189890941796,,,,,,
811,,,,52.82419708,115.35338243,33.89496639084079,,,,,,
812,72.94956807,42.064501045,22.67677831524228,47.61122602499999,144.581958575,65.03801071698568,22.49783973,62.717003665,25.79174790094629,265.60385310000004,125.07059398999999,157.90759671020263
816,,,,211.51293099,542.21226735,201.69601031610532,327.74434114999997,676.98898545,180.16810346058716,,,
817,,,,,,,,,,0.14974535349999998,2.4161872815,2.1259771758286017
825,7.876439049999999,0.9990048245,47.34621932356721,,,,,,,,,
830,,,,11.1146659845,2.6008590055000003,27.869603512680342,,,,,,
831,,,,,,,,,,0.561545076,3.056586498,2.036661387325078
833,,,,,,,2.4543097885,0.7699838815000001,3.6844326604145565,,,
837,36.673016925,21.061947675,11.570890161196623,12.160717795,30.34335506,10.8955749045164,9.2605559135,31.2698617995,15.491259561347338,88.07101370499998,34.37515212,83.87586304463099
838,,,,,,,,,,9.384250119,1.213578204,55.01077666237467
839,,,,,,,,,,0.37436338399999997,1.8317379955000002,1.1595221387898411
843,23.774687025,7.612132879,34.31734057652171,,,,26.486826460000003,2.053290351,290.7517129757393,,,
847,28.254742214999997,63.412546215000006,19.492533510821694,,,,,,,,,
851,,,,,,,786.06835675,405.81547639999997,356.30048981165834,,,
852,,,,3.1295114314999997,16.52074023,10.854538370389703,,,,,,
853,,,,345.01858274999995,125.64178770500001,383.0427685191293,,,,,,
854,,,,,,,33.925614765,17.709629275,14.848316773242585,,,
855,41.840277660000005,11.925519085,75.04015332348416,,,,8.99913589,60.41436505,43.75657655902675,,,
856,,,,,,,1.2271548945,8.983145285,6.6964726751080645,,,
857,,,,151.16751655000002,43.232619325,269.4711128047367,,,,,,
859,,,,,,,571.8168786,197.69631075,707.9858939067553,44.19437733,28.081654345,9.245176185197694
860,11.81465857,2.9970144735,25.942766743378993,,,,16.964850523,7.699838815,11.148342713636021,,,
861,,,,,,,,,,7.3189601285000006,16.9578902095,5.478804966808784
862,,,,,,,,,,170.18808990000002,834.95891255,529.2718479968248
863,,,,12.855204335,38.5218932,17.101415911010186,,,,,,
865,,,,2.777946163,36.412026075,31.068068807725684,13.987700685499998,1.0266451755,163.62903556380792,,,
